id,text,label,confidence,page,section
chunk_340,"In the face of significant market volatility and uncertainty, Macroeconomic and market environment Prudentials Group Risk Framework, risk appetite, and robust The Russia-Ukraine conflict may continue to lead to economic and its risk exposure dynamically and effectively throughout 2022, dependence on Russian energy and commodities. The uncertainty on in order to achieve the Groups strategy of delivering value for the longer-term evolution of these tensions has contributed to our shareholders and all our stakeholders. This section explains the keeping energy and commodity prices high and volatile leading to main risks inherent in the business and how Prudential manages high inflationary pressures",risk,1.0,51,General
chunk_568,". the Groups approach to ensuring the transition to a low-carbon Further information can be found in the Directors remuneration economy considers all countries, economies and worker populations report. by raising awareness on the country-specific challenges for emerging markets in the energy transition. The Board Responsibility and Sustainability Working Group (RSWG), established in early 2021, continued during 2022. George Sartorel In respect of the review of the FY22 ESG Report: replaced Alice Schroeder as Chair following the AGM in May 2022,  The GRC reviewed the disclosures made in the sections of the ESG and both Arijit Basu and Claudia Suessmuth Dyckerhoff were Report that relate to areas within its remit (including non-climate appointed to the RSWG on joining the Board",esg,1.0,77,Sustainability & ESG
chunk_774,". note that this reduction will not be linear, as our premises portfolio is expected to change with our business operations. As the fall in our 2022 emissions continues to be ahead of the reduction trajectory required to meet our 2030 target for Scope 1 and Movement in our operational emissions 2 emissions, we have not purchased any carbon offsets for Scope 1 Our 2022 reporting covers the period 1 October 2021 to and 2 emissions in 2022. We have procured renewable energy in 30 September 2022, and includes our global property portfolio, which Malaysia through green procurement strategies, utilising the Green spans Asia, Africa and the United Kingdom. Energy Tariff (GET) and International Renewable Energy Certificates (I-RECs) programmes",operations,1.0,104,Corporate Governance
chunk_414,". The ALM strategy adopted exchange risk. In cases where a non-US dollar denominated surplus by the local business units considers the liability profile and arises in an operation which is to be used to support Group capital related assumptions of in-force business and new products to or shareholders interest (i.e. remittances), this currency exposure appropriately manage investment risk within ALM risk appetite, may be hedged where considered economically favourable. under different scenarios in accordance with policyholders Further, the Group generally does not have appetite for significant reasonable expectations, and economic and local regulatory direct shareholder exposure to foreign exchange risks in currencies requirements",risk,1.0,57,Risk Management
chunk_56,". We are working to accelerate the digital enablement of our distribution network and a seamless digital customer experience. ... and what We have top three positions in 12 out Our focus on regular premium Our extensive multi-channel differentiates us of 13 life markets in Asia, and Eastspring savings and protection products and integrated distribution is a top-10 asset manager in six of helps us grow our revenues over time enables us to better understand and 11 markets. We operate in eight as we add new customers and increase service customers financial needs. countries in Africa, where we have the savings of our existing customers",market,0.8,16,Strategic Report - Business Model
chunk_405,". and is compatible with a robust solvency position. The Groups Prudentials appetite for interest rate risk requires that assets and market risks are managed and mitigated by the following: liabilities should be tightly matched for exposures where assets or  The Group market risk policy; derivatives exist that can cover these exposures. Interest rate risk is accepted where this cannot be hedged, provided that this arises  Risk appetite statements, limits and triggers; from profitable products and to the extent that such interest rate  The Groups capital and asset liability management committees; risk exposure remains part of a balanced exposure to risks and is  Asset and liability management activities, which include compatible with a robust solvency position",risk,1.0,56,Risk Management
chunk_17,"individual with a deep understanding of, and operating experience Climate, people and communities in insurance across our key Asian markets and the skills to lead and Prudentials ability to generate shareholder returns is inextricably develop a customer-centric, performance-driven culture. Given the linked to our creation of social value and our alignment with national significance of the decision to the future success of the Group, the priorities for the protection of people in our markets. Underpinning our Board conducted a rigorous selection process involving all Non- purpose, our commitments on sustainability, customers, people and executive Board members",leadership,1.0,7,Leadership - Chair's Statement
chunk_278,". Through 2021, 2022 and early 2023, the OECD also includes a number of additional disclosures, including a country- has issued model rules, guidance and a number of supplementary by-country disclosure of revenues, profits, average employee numbers documents. Further OECD documents are expected during the course and taxes for all jurisdictions where more than $5 million tax was of 2023. A number of jurisdictions where Prudential has operations paid. This disclosure is included as a way of demonstrating that our either have already issued or intend to issue draft legislation to tax footprint (ie where we pay taxes) is consistent with our business implement the OECD rules into domestic tax law. Detailed analysis footprint",financial,1.0,42,Financial Review
chunk_1069,"C Financial position / continued C1 Group assets and liabilities by business type continued 31 Dec 2022 $m Asia and Africa Elimination Insurance of Unallocated intra-group With- Unit- Elimina- to a debtors and Group profits linked Other Eastspring tions Total segment creditors total note (i) note (i) note (i) Debt securities notes (ii)(iv) Sovereign debt Indonesia 482 589 483 3 – 1,557 – – 1,557 Singapore 3,240 507 917 67 – 4,731 – – 4,731 Thailand – – 1,456 – – 1,456 – – 1,456 United Kingdom – 4 – – – 4 – – 4 United States 19,983 54 1,854 – – 21,891 – – 21,891 Vietnam 1 12 2,397 – – 2,410 – – 2,410 Other (predominantly Asia) 2,041 646 3,288 27 – 6,002 – – 6,002 Subtotal 25,747 1,812 10,395 97 – 38,051 – – 38,051 Other government bonds AAA 1,480 85 108 – – 1,673 – – 1,673 AA to AA- 105 21",operations,1.0,314,General
chunk_397,"Risk review / continued 3 The Groups principal risks business. The Groups principal risks, which are not exhaustive, are detailed below. The Groups risk management cycle (detailed The delivery of the Groups strategy in building long-term value for above) includes within its scope the processes for prioritising and its shareholders and other stakeholders, focusing on high-growth determining the relative significance of ESG and climate-related risks, business in Asia and Africa, exposes Prudential to risks. The as well as those associated with implementing the Groups externally materialisation of these risks within the Group or in its joint ventures, communicated commitments",risk,1.0,56,Risk Management
chunk_277,". This change does losses on which no tax credit is recognised. not impact Prudential plcs legal structure or place of incorporation From 2024 onwards, the effective tax rate on adjusted operating profit is which remains in the UK. Further detail, including tax guidance for likely to be impacted by a combination of the Organisation for Economic relevant shareholders, can be found at www.prudentialplc.com. Co-operation and Development (OECD) proposals to implement a Tax strategy global minimum tax rate of 15 per cent and some jurisdictions where The Group publishes its tax strategy annually which, in addition to Prudential operates implementing a domestic minimum tax based complying with the mandatory UK (Finance Act 2016) requirements, on the OECD proposals",financial,1.0,42,Financial Review
chunk_240,". $945 million9. This was allocated between operating and non- operating profit in line with the Groups usual principles. In 2022, the Group reported a 9 per cent4 increase in APE sales to $4,393 million while new business profit was (11) per cent4 lower Our Groups regulatory capital position, free surplus and central at $2,184 million. This encouraging APE sales performance, despite liquidity positions remain robust. The Groups leverage remains near Covid-19-related disruption during the first half of the year, reflects the bottom of our target range at 20 per cent, estimated on the benefit of our diversification across geography, channel and a Moodys basis, after allowing for the redemption of a £300 million products",financial,1.0,37,General
chunk_2,", Section 172 Statement READ 16 MORE 176 Governance 178 Chairs governance statement 180 Our leadership 190 Corporate governance Our financial 192 How we operate 202 Risk management and internal control 204 Committee reports performance 223 Statutory and regulatory disclosures 225 Index to principal Directors report disclosures 226 Directors remuneration report 228 Annual statement from the Chair of the Remuneration Committee 233 Our Executive Directors remuneration at a glance 234 Summary of proposed changes to the 236 Annual report on remuneration 261 New Directors remuneration policy 276 Additional remuneration disclosures READ 34 MORE 280 Financial statements 376 European Embedded Value (EEV) basis results Our risk profile 402 Additional information 404 Index to the additional unaudited",leadership,1.0,3,Leadership - Chair's Statement
chunk_281,", net of related tax (531) (165) Other external dividends (474) (421) Issue of equity shares (4) 2,382 Other (including revaluation of Jackson residual interest since demerger) (117) 240 Decrease in shareholders equity (128) (3,790) Shareholders equity at beginning of the year 17,088 20,878 Shareholders equity at end of the year 16,960 17,088 Shareholders value per share19 617 622 Group IFRS shareholders equity decreased marginally to $17.0 billion at 31 December 2022, reflecting profit generated during the year, offset by dividend payments of $(0.5) billion, adverse exchange movements of $(0.5) billion and movements including the revaluation of the residual interest in Jackson Financial Inc.",financial,1.0,42,Financial Review
chunk_563,", recruitment and rewards Agency distributors Agency distributor survey Customer satisfaction Inclusive products and services Training and development Digital innovation Customer fair dealing Governments and regulators Roundtables Healthcare access and insurance Consultations Ethics and responsible business practices Regulatory colleges Data privacy Regular meetings Financial inclusion Climate change Responsible tax Further information on our engagement with our stakeholders can be found in our Section 172 Statement.",esg,1.0,76,Sustainability & ESG
chunk_109,".  Adjusted operating profit and Group IFRS profit after tax are discussed separately in the Financial review section of this Strategic report. The Chinese Mainland continues to present significant growth been underpinned by a diversified distribution strategy with a opportunities for the Group, with a population of circa 1.4 billion28, high-quality agency force and strong partnerships with banks with low levels of insurance penetration and an estimated health and delivering customer-centric protection and savings solutions. protection gap of $805 billion5",strategy,1.0,24,Strategic Report - Strategy
chunk_1015,. The segmental analysis of depreciation and amortisation is shown below. 2022 $m 2021 $m Hong Kong (147) (123) Indonesia (61) (51) Malaysia (70) (56) Singapore (202) (162) Growth markets and other (461) (390) Eastspring (13) (17) Total segment (954) (799) Unallocated to a segment (central operations) (26) (31) Total depreciation and amortisation (980) (830) (iii) Interest expense is included in Administration costs and other expenditure (net of other reinsurance commission) other than interest on core structural borrowings that is presented separately on the income statement as Finance costs: interest on core structural borrowings of shareholder-financed businesses,operations,1.0,304,General
chunk_260,"Share of related tax charges from joint ventures and associates (76) (44) (42) Long-term business pre-tax adjusted operating profit 3,846 3,709 3,583 Long-term business adjusted operating profit grew 7 per cent4 With-profits earnings relate to the shareholders share in bonuses to $3,846 million (2021: $3,583 million4)",financial,1.0,40,Financial Review
chunk_419,"Risk review / continued Risks to the Groups financial situation (including those from the external macroeconomic and geopolitical environment) continued Liquidity risk (continued) The Group has significant internal sources of liquidity sufficient to  Regular assessment and reporting by the Group and business meet its expected cash requirements for at least 12 months from units of Liquidity Coverage Ratios which are calculated under the date the financial statements are approved, without having both base case and stressed scenarios; to resort to external sources of funding",risk,1.0,58,Risk Management
chunk_249,". IFRS profit Actual exchange rate Constant exchange rate 2022 $m 2021 $m Change % 2021 $m Change % Adjusted operating profit based on longer-term investment returns before tax from continuing operations CPL 368 343 7 329 12 Hong Kong 1,036 975 6 969 7 Indonesia 343 446 (23) 429 (20) Malaysia 364 350 4 330 10 Singapore 678 663 2 646 5 Growth markets and other 1,057 932 13 880 20 Long-term business adjusted operating profit 3,846 3,709 4 3,583 7 Asset management 260 314 (17) 299 (13) Total segment profit from continuing operations 4,106 4,023 2 3,882 6 Net investment income and other items 39 21 86 21 86 Interest payable on core structural borrowings (200) (328) 39 (328) 39 Corporate expenditure (276) (298) 7 (280) 1 Other income and expenditure (437) (605) 28 (587) 26 Total adjusted",operations,1.0,38,Financial Review
chunk_156,". We have been serving the financial customer experience. Our enterprise benefit business also delivered needs of Singapore residents for more than 90 years, delivering good growth with APE sales increasing by 17 per cent10, covering over a suite of product offerings and professional advice through our 3,000 small-to-medium enterprises and over 200,000 employees. network of more than 5,000 financial consultants and our To meet the specific retirement and investment needs of our bank partners. customers, we have launched PruVantage Wealth, an investment- In 2022, we continued to drive our segment-led customer strategy linked product offering low fees, simplified charges and a wide range by further penetrating the high-net-worth segment",strategy,1.0,28,Strategic Report - Strategy
chunk_247,. We have yet to complete the production of our half-year for the debt redemption in January 2022). The GWS coverage ratio at and full-year 2022 comparatives using the IFRS 17 accounting 1 January 2022 measured on GPCR basis after the regulatory standard but we estimate that the net impact of timing differences changes was 320 per cent. The Groups free surplus increased by between the two accounting bases will decrease the adjusted IFRS 17 $1.4 billion as a result of the change on 1 January 2022. This is less operating profit for 2022 by between $650 million and $850 million than the increase in GWS surplus as free surplus excludes regulatory compared with IFRS 4,financial,1.0,38,Financial Review
chunk_67,"Strategic and operating review / continued Following the completion of the Groups restructuring in 2021, our The first part of 2022 saw Covid-19-related disruption in many of operations are fully dedicated to the life insurance and asset our markets as the Omicron variant increased infection levels and management opportunities in Asia and Africa. Our headquarters and associated social restrictions. Subsequently, most markets have management of the Group are now based in Hong Kong. returned to more stable operating conditions, albeit the border between the Chinese Mainland and Hong Kong remained closed Our strategy is aligned with the long-term structural opportunities throughout 2022. Against this backdrop, APE sales9 increased in Asia and Africa",strategy,1.0,20,Strategic Report - Strategy
chunk_404,". detailed in the Insurance Risks section below. Interest rate risk, including asset liability management (ALM). The Group has appetite for market risk where it arises from Interest rate risk is driven by the impact of the valuation of profit-generating insurance activities to the extent that it remains Prudentials assets (particularly government and corporate bonds) part of a balanced portfolio of sources of income for shareholders and liabilities, which are dependent on market interest rates. and is compatible with a robust solvency position",risk,1.0,56,Risk Management
chunk_847,". In 2022, PRUCommunities performance reviews, and more. articles were viewed by more than 10,000 employees, including nearly 2,800 views on the Community Connections page, and nearly The Board uses a range of formal and informal methods to engage, 3,500 views of our We DO Wellness page. communicate and understand the views of the workforce. In May 2021, the Responsibility & Sustainability Working Group assumed In 2022, Prudential signed the Neurodiversity in Business responsibility for leading the programme of workforce engagement Membership Charter as part of our commitment to further and, along with other Non-executive Directors, the Working Group strengthen inclusion and deepen belonging in the workplace",leadership,1.0,112,Corporate Governance
chunk_19,". He has a and communities. strong track record of creating and driving a culture of performance and success, and digital experience, most recently driving the Alongside our specific climate change policies and commitments, we modernisation of technology platforms across Asia. He joined the have made progress across these closely connected areas and continue company as Chief Executive Officer on 25 February 2023. to embed our policies and processes, including the ESG strategy we set out in 2021, across the company. Our approach and the actions we The Board is immensely grateful for the way in which Mark FitzPatrick have taken on ESG are detailed in our 2022 ESG Report on pages 66 to led Prudential as interim Chief Executive Officer. Mark has made a vital 168",leadership,1.0,7,Leadership - Chair's Statement
chunk_94,". real-time management information tools and AI-powered analytics. For example, in October 2022, we entered a strategic partnership From a technology standpoint, the Pulse platform utilises a one with Google Cloud to make healthcare and financial security more platform approach, allowing Prudential to consolidate and reduce IT accessible across Asia and Africa. This strategic partnership supports investment over the long term as well as accelerate application our broader digital strategy to leverage AI and advanced analytics development and deployment across our many markets. We remain to transform the customer and agent experience and lower barriers committed to the strategic pillars which have driven our digital to accessing financial services",strategy,1.0,22,Strategic Report - Strategy
chunk_76,". Through leveraging our scale and expertise in those markets we believe we can achieve attractive returns. We have significant investment appetite and capacity to support organic growth through funding the writing of new business and through adding to our existing capabilities, including distribution. We also remain ready to consider strategic inorganic opportunities. We seek geographic diversification of our Asia operations among Greater China7, our businesses in South-east Asia8 and India.",strategy,1.0,20,Strategic Report - Strategy
chunk_981,". CPL is managed jointly with CITIC, a Chinese state-owned conglomerate. All other Asia and Africa insurance operations are included in the Growth markets and other segment alongside other amounts that are not included in the segment profit of an individual business unit, including tax on life joint ventures and associates and other items that are not representative of the underlying segment trading for the period. Operations and transactions which do not form part of any business unit are reported as Unallocated to a segment and generally comprise head office functions, as presented in the additional segmental analysis in note B1.4",operations,1.0,300,General
chunk_409,". based broadly on historical and current rates of return from the businesss investment portfolios, which include equities. The Group The Groups risk exposure to lower/decreased interest rates arises has limited acceptance for exposures to equity risk, but accepts the from the guarantees of some non-unit-linked products with a equity exposure that arises on future fees (including shareholder savings component, including the Hong Kong and Singapore transfers from the with-profits business). with-profits and non-profit businesses. This exposure results from the potential for an asset and liability mismatch, where long-dated The material exposures to equity risk in the Groups businesses liabilities and guarantees are backed by short-dated assets",risk,1.0,57,Risk Management
chunk_232,". Operating return on advantage of the long-term opportunities as our markets recover embedded value8 was 9 per cent compared with 8 per cent in 2021. from the effects of Covid-19. After allowing for economic effects, such as changes in interest rates, currency movements and the payment of the external dividend, The Groups 2022 financial performance saw us deliver growth across the Groups embedded value at 31 December 2022 was $42.2 billion many of our key performance measures, with APE sales1, operating (31 December 2021: $47.4 billion9), equivalent to 1,534 cents per free surplus generated2, EEV operating profit and IFRS adjusted share (31 December 2021: 1,725 cents per share9). The operating free operating profit3 all higher than the prior year4",financial,1.0,37,General
chunk_578,", and from ESG matters, including climate change, February 2023 by Group CFO that are material to the Group  Members include asset owner and asset manager CEOs, Group CRCO",esg,1.0,78,Sustainability & ESG
chunk_889,". We will cultivate a stakeholders, are met. Information on executive remuneration and continuous learning culture, and build skills for now and the future, its alignment with the pay of other employees is provided in the through a new Prudential Skills Framework that will underpin our skill-building initiatives in 2023. As part of the implementation, As reported in the 2021 Directors remuneration report, the UK functional leaders and subject matter experts will work together to headcount of Prudential Services Ltd is below the 250-person co-create Learning Academies for functional skills development. threshold which triggers mandatory publication of the gender pay We also aim to launch a Leadership Skills Booster to prepare our gap and the CEO pay ratio",leadership,1.0,118,Corporate Governance
chunk_415,". Factors such as the availability of matching outside the markets in which it operates, but it does have some assets, diversification, currency and duration are considered as appetite for this on fee income and on equity investments within appropriate. The assumptions and methodology used in the the with-profits funds. Where foreign exchange risk arises outside measurement of assets and liabilities for ALM purposes conform appetite, currency swaps and other derivatives are used to manage with local solvency regulations. Assessments are carried out on an the exposure. economic basis which conforms to the Groups internal economic capital methodology",risk,1.0,57,Risk Management
chunk_997,", net of reinsurance (14,656) 1,658 1,820 78 2,497 513 (200) (8,290) 71 (8,219) 2021 $m Insurance operations note (i) Growth Inter- Unallocated markets segment Total to a Hong Kong Indonesia Malaysia Singapore and other Eastspring elimination segment segment Total Gross premiums earned 10,032 1,724 1,900 6,246 4,315 – – 24,217 – 24,217 Outward reinsurance premiums (1,557) (43) (47) (137) (60) – – (1,844) – (1,844) Earned premiums",operations,1.0,302,General
chunk_246,". This reflects the release of prudent margins from improvement to the shareholder GWS capital surplus of total our legacy accounting basis, particularly in Hong Kong, recognition of eligible group capital resources over the Group Minimum Capital the shareholders share of the inherited estate within the with-profit Requirement (GMCR) at 1 January 2022 by $9.3 billion14, increasing funds and the net impact of timing differences in the pattern of profit the coverage ratio15 from 408 per cent to 545 per cent (after allowing recognition. We have yet to complete the production of our half-year for the debt redemption in January 2022)",financial,1.0,38,Financial Review
chunk_575,"ESG report / continued Prudential plc  Oversees all aspects of ESG, including people, culture and  Provides rigorous challenge to management on progress Board communities, with ultimate responsibility for determining against goals and targets strategy and prioritisation of key focus areas  Ensures the Group maintains an effective risk management framework, including over climate-related risks and opportunities REPORTING INFORMING The Board delegates specific Group Risk Committee Board Responsibility and Sustainability ESG, including  Meeting frequency in 2022: six times Working Group climate change,  Oversight responsibilities for environmental and  Meeting frequency in 2022: five times oversight matters climate-related issues  Oversees the embedding of the Groups ESG strategy",esg,1.0,78,Sustainability & ESG
chunk_16,". customer experiences and the effectiveness of our distribution and to promote wider financial inclusion. We have continued to work to equip Chief Executive Officer succession our people with the appropriate skills and to support their well-being to It was with this purpose, strategy and long-term growth opportunities ensure our culture celebrates diversity and assures inclusion. in mind that the Board undertook an extensive search for Prudentials new Chief Executive Officer, with clarity about the attributes we were As the strategic and operating review sets out in detail, the advantage looking for in the leader of Prudentials next stage as an exclusively Asia of our business model – with its geographic, channel and product and Africa-focussed company. In particular, the Board sought an",leadership,1.0,6,Leadership - Chair's Statement
chunk_274,". in 2021 and from the benefit arising from the early adoption of the HK RBC. its now exclusive focus on the growth markets of Asia and Africa, The adverse movements in investment returns largely occurred in that the roles of the Chief Executive Officer and Group Chief Financial Hong Kong and the Chinese Mainland and resulted in the losses after Officer would be based in Asia, where Prudentials largest businesses, tax for those segments. the Groups regulator and the rest of the senior management team are located. As a result of these actions the tax residence of Prudential plc Corporate transactions include a $62 million realised gain from has changed to Hong Kong with effect from 3 March 2023. This is an the sale of 8.7 million shares in Jackson Financial Inc",operations,1.0,42,Financial Review
chunk_571,". the Group Risk Committee (GRC). Their terms of reference were amended to ensure a holistic approach to these topics. The GRCs Management oversight additional responsibilities extend to external reporting, via the ESG ESG activity, including the impacts from climate change, is overseen Report, where it relates to those areas within its remit, including at a management level by the Group ESG Committee, which was monitoring the progress on the Groups reporting against the chaired by the Group CEO in his role as ESG sponsor. Other members recommendations of the Task Force on Climate-related Financial of the Committee are the Group Chief Financial Officer, the Group Disclosures (TCFD)",esg,1.0,77,Sustainability & ESG
